reference,description,decision_date,organisation,entry_date
23/00002/FUL,"Erection of a single storey extension with flat roof to rear and single storey infill extension to front of dwelling, PV installation to pitched roof and new access and parking (part-retrospective)",2023-05-09,109,2025-05-30
23/00008/FUL,Erection of a single storey rear extension to dwelling.,2023-02-20,109,2025-05-30
23/00009/FUL,Erection of a single storey extension to rear of garage to create a granny flat bedroom and ensuite in rear half of garage.,2023-02-06,109,2025-05-30
23/00023/FUL,Erection of a single-storey rear extension including demolition of existing extension and erection of a two-storey side extension with partial canopy to front elevation.,2023-03-21,109,2025-05-30
23/00024/FUL,Erection of front porch extension and rear two storey pitched roof extension following the removal of the existing conservatory (being resubmission of application 22/02295/FUL),2023-03-02,109,2025-05-30
23/00026/FUL,Erection of double storey side extension with internal reconfiguration to create additional bedroom and bathroom following demolition of single garage and utility,2023-07-06,109,2025-05-30
23/00027/FUL,"Conversion of a disused barn to form a new dwelling, including extensions and external alterations to facilitate the conversion",2024-11-22,109,2025-06-21
23/00030/FUL,Erection of a ground floor extension to the rear/side.,2023-02-20,109,2025-05-30
23/00034/FUL,Erection of single storey rear extension as well as internal alterations to provide improved facilities both for staff and patients (being resubmission of application 22/00199/FUL refused on 14.7.22 w,2023-04-12,109,2025-05-30
23/00035/FUL,Erection of ground floor and basement extension to rear,2023-03-16,109,2025-05-30
23/00039/FUL,Amended: Erection of a summer house and store following the demolition of existing barn and garage to include installation of Heating Ventilation Air Conditioning (HVAC) unit and repositioning of stor,2023-04-14,109,2025-05-30
23/00048/FUL,Erection of extension from the front of the existing garage connecting to the house.,2023-02-21,109,2025-05-30
23/00052/FUL,Erection of ground floor rear extension,2023-03-24,109,2025-05-30
23/00053/FUL,Erection of annex extension to existing garage (retrospective),2023-03-24,109,2025-05-30
23/00054/FUL,"Erection of a single storey rear extension, which has been designed with a flat roof and a roof light to create a Kitchen Area/Utility/WC, following the demolition of the existing rear Conservatory.",2023-03-07,109,2025-05-30
23/00058/FUL,Erection of single storey extension to side and rear,2023-03-24,109,2025-05-30
23/00061/3FUL,Window refurbishment and replacement of existing primary timber frames with UPVC.,2023-03-27,109,2025-05-30
23/00062/3FUL,Replacement of existing timber frames and uPVC frames with new white uPVC window frames.,2023-03-28,109,2025-05-30
23/00063/FUL,Erection of extension and alterations to rear of existing dwelling and existing detached garage.,2023-03-06,109,2025-05-30
23/00064/FUL,Erection of a two storey rear extension and a single storey side extension to the dwelling.,2023-02-27,109,2025-05-30
23/00070/FUL,Erection of a single storey extension with pitched roof to rear of property,2023-07-11,109,2025-05-30
23/00071/FUL,Erection of ground floor rear extension and supported first floor extension with carport below following demolition of existing conservatory.,2023-03-16,109,2025-05-30
23/00072/FUL,Erection of ground floor and first floor side extension and single storey rear/side extension following demolition of existing conservatory,2023-03-14,109,2025-05-30
23/00073/FUL,"Erection of a single storey rear extension and first floor side extension to the dwelling house, following demolition of the existing extensions.",2023-02-27,109,2025-05-30
