vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,directors,directors_count,psc_names,total_filings,filing_types,last_filing,company_age_days,is_active,has_charges,has_insolvency
nails,Manchester,Yulia Hamilton Nails & Beauty,07858 358562,"40 Laystall St, Manchester, M1 2JQ",4.8,686,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,15554494,YULIA HAMILTON NAILS & BEAUTY LTD,active,ltd,2024-03-11,96020,25 Woodward Street Manchester M4 7BQ,"MARTEMIANOVA, Iuliia Dmitrievna (since 2024-03-11)",1,Miss Iuliia Dmitrievna Martemianova,12,"{""accounts"": 3, ""confirmation-statement"": 3, ""persons-with-significant-control"": 2, ""address"": 1, ""officers"": 2, ""incorporation"": 1}",2026-06-24,926,1,0,0
nails,Manchester,"Townhouse Nail Salon, Manchester King Street",020 7947 0100,"34 King St, Manchester, M2 6AZ",4.8,325,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,14500789,"HIS AND HERS SALON, NAILS & BEAUTY LTD",dissolved,ltd,2022-11-23,96020,8a Kingsway House Bedworth CV12 8HY,"FERRELL, Liley Rosey (since 2022-11-23)",1,Miss Liley Rosey Ferrell,9,"{""gazette"": 2, ""insolvency"": 3, ""address"": 1, ""resolution"": 1, ""dissolution"": 1, ""incorporation"": 1}",2025-09-18,1400,0,0,1
nails,Manchester,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ",5,71,https://shuku.co.uk/,12008742,SHUKU NAIL BAR LTD,dissolved,ltd,2019-05-21,96090,1a Hankinson Way Manchester M6 5JA,"NOZARY, Shuku (since 2019-05-21)",1,Mrs Shuku Nozary,3,"{""gazette"": 2, ""incorporation"": 1}",2021-03-23,2682,0,0,0
nails,Manchester,Nails by Yulia Hamilton,07858 358562,"New Church House, 34 John Dalton St, Manchester, M2 6LE",4.8,592,https://www.mcrnails.co.uk/,13742131,NAILS BY YULIA HAMILTON LIMITED,dissolved,ltd,2021-11-14,96020,Apartment C401 9 Owen Street Manchester M15 4UH,"MARTEMIANOVA, Iuliia Dmitrievna (since 2021-11-14)",1,Miss Iuliia Dmitrievna Martemianova,15,"{""gazette"": 2, ""dissolution"": 1, ""accounts"": 3, ""confirmation-statement"": 3, ""persons-with-significant-control"": 2, ""officers"": 2, ""address"": 1, ""incorporation"": 1}",2026-03-24,1774,0,0,0
nails,Manchester,Bella Spa,07554 012698,"12 Faraday St, Manchester, M1 1BE",4.9,3486,https://www.instagram.com/bellaspa_manchester/,14041608,BELLA SPA NAILS LTD,active,ltd,2022-04-12,96020,207 Nantwich Road Crewe CW2 6DA,"NGUYEN, Thuy Giang (since 2022-04-12)",1,Thuy Giang Nguyen,9,"{""accounts"": 4, ""confirmation-statement"": 4, ""incorporation"": 1}",2026-09-09,1625,1,0,0
nails,Manchester,The Glow Nail & Beauty,07496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester, M3 1AZ",5,59,https://linktr.ee/FaraNNail,16690628,AMBER GLOW NAILS & BEAUTY LTD,active,ltd,2025-09-03,96020,225 Garratt Lane London SW18 4DT,"TRAN, Thi Bich Phuong (since 2025-09-03)",1,Ms Thi Bich Phuong Tran,2,"{""confirmation-statement"": 1, ""incorporation"": 1}",2026-09-05,385,1,0,0
nails,Manchester,Classy Nails & Beauty Manchester,0161 971 1665,"1 Whittle St, Manchester, M4 1LT",4.7,622,https://www.instagram.com/classynailsandbeautymcr/?hl=en,15631901,CLASSY NAILS & BEAUTY MANCHESTER LIMITED,dissolved,ltd,2024-04-10,96020,Black Horse Chambers 231 Elliott Street Manchester M29 8DG,"NGUYEN, Tien Van (since 2024-04-10)",1,Mr Tien Van Nguyen,4,"{""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-06-02,896,0,0,0
nails,Manchester,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ",4.9,170,http://instagram.com/acenailsmcr/,15146418,ACE NAILS & BEAUTY LTD,active,ltd,2023-09-18,96020,6 Higher Road Manchester M41 9BQ,"VU, Quan Van (since 2023-09-18)",1,Mr Quan Van Vu,8,"{""confirmation-statement"": 3, ""accounts"": 2, ""persons-with-significant-control"": 1, ""officers"": 1, ""incorporation"": 1}",2026-09-09,1101,1,0,0
nails,Manchester,M1 Nails Shudehill,0161 526 0776,"15a Shudehill, Manchester, M4 2AF",4.5,1439,https://m1nails2024.setmore.com/,13722598,M1 NAILS SHUDEHILL LTD,dissolved,ltd,2021-11-03,96020,7 Shudehill Manchester M4 2AF,"LE, Cong Khanh (since 2021-11-03)",1,Mr Cong Khanh Le,3,"{""gazette"": 2, ""incorporation"": 1}",2023-05-02,1785,0,0,0
nails,Manchester,LILLY NAIL AND BEAUTY MANCHESTER,0161 425 5858,"14-16 Whitworth St, Manchester, M1 3BS",4.5,657,http://www.lillynailnbeauty.co.uk/,15504353,LILLY NAIL AND BEAUTY NORTHWICH LTD,active,ltd,2024-02-19,96020,27 Castle Street Northwich CW8 1BA,"NGUYEN, Ha Hai (since 2024-02-19)",1,Ms Ha Hai Nguyen,6,"{""accounts"": 3, ""confirmation-statement"": 2, ""incorporation"": 1}",2026-04-20,947,1,0,0
