vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,directors,directors_count,psc_names,total_filings,last_filing,company_age_days,is_active,has_charges,has_insolvency
lashes,London,Holbornlash&brow studio,07419 764915,"97 Southampton Row, London, WC1B 4HH",4.9,156,https://hehebeautybar.nl/,16374195,AAAG STUDIOS LTD,dissolved,ltd,2025-04-08,62011,15 Octavian Road Dunstable LU5 6GR,"ALI, Asad (since 2025-04-08)",1,Mr Asad Ali,4,2026-07-21,533,0,0,0
lashes,London,The Lash Lab London,07903 688686,"Compton Ave, London, HA0 3FD",5,300,https://instagram.com/thelashlabldn?igshid=YmMyMTA2M2Y=,12272979,THE LASH LAB LONDON LTD,active,ltd,2019-10-21,96020,6 Compton Avenue Wembley HA0 3FD,"PATEL, Nikkita Atulkumar (since 2019-10-21); PRENDERGAST, Simone Nadine (since 2019-10-21)",2,Miss Nikkita Atulkumar Patel,18,2026-07-31,2529,1,0,0
lashes,London,Jiemao Lashes & Brows,020 7613 4342,"6, cleeve workshops, Boundary St, London E2 7HJ",4.7,433,https://jiemaolashes.com/,10255960,JIEMAO JIEMAO LASHES AND BEAUTY LTD,active,ltd,2016-06-29,96020,10255960 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,"BROADMAN, Salina (since 2017-02-21); BOARDMAN, Nicholas (since 2018-03-29); BOARDMAN, Nicholas (since 2018-03-29); BOARDMAN, Nicholas (since 2016-06-29)",4,Miss Salina Vu,24,2024-02-29,3738,1,0,0
lashes,London,Blinkfairy Eyelash Extensions London,07919 884794,"45 Circus Rd, London, NW8 9JH",4.9,157,https://blinkfairy.co.uk/?utm_source=google&utm_medium=maps,15944605,ALTRINCHAM EYELASH EXTENSIONS LTD,dissolved,ltd,2024-09-09,96020,75 Brunswick Road Altrincham WA14 1LP,"GOMEZ GARCIA, Ainhoa (since 2024-09-09)",1,Ainhoa Gomez Garcia,4,2026-01-27,744,0,0,0
lashes,London,RC AESTHETICS & LASH |Bespoke Eyelash Extensions City of London,07517 356519,"Spaces -Liverpool Street 35 New Broad Street 2 min walk from Liverpool Street, London, EC2M 1NH",5,83,http://www.rclash.com/,12027661,COCO HAIR AND LASH BAR T/A RUSSIAN EYELASH EXTENSIONS LIMITED,dissolved,ltd,2019-06-03,96020,Studio 210 134-146 Curtain Road London EC2A 3AR,"MCANESPIE, Jemma (since 2019-06-03)",1,Jemma Mcanespie,4,2021-03-23,2669,0,0,0
lashes,London,London lash art,07469 885058,"157 Essex Road, Greater, London, N1 2SN",4.8,46,https://londonlashart.mytreatwell.co.uk/,14935416,FLORENTINA COLDEA LASHES & PMU ARTIST LTD,active,ltd,2023-06-14,96020,531b Harlestone Road Northampton NN5 6NX,"COLDEA, Florentina (since 2023-06-14)",1,Mrs Florentina Coldea,8,2026-07-01,1197,1,0,0
car_detailers,London,Auto Detailing London,020 8073 1802,"29 Parbury Road Forest Hill London, Forest Hill, SE23 1NZ",5,123,https://autodetailinglondon.co.uk/,16023027,AA AUTO CARE & DETAILING LTD,active,ltd,2024-10-16,45200,Whiteley Arches Garage Oxenhope HX7 6NG,"ISLAM, Sunneyna Kauser (since 2024-10-16)",1,Miss Sunneyna Kauser Islam,7,2026-06-25,707,1,0,0
car_detailers,London,RR London Detailing,07707 523500,"249 Queenstown Rd, London, SW8 3NP",5,256,https://rrlondondetailing.co.uk/,16687170,RR LONDON DETAILING LTD,active,ltd,2025-09-01,"45112,45200,45320,81222",249-253 Queenstown Road London SW8 3NP,"AMEEN, Bahkteyar Mustafa (since 2025-09-01); KORYTOWSKI, Konrad Pawel (since 2025-09-01); RYAN, John Stanley (since 2025-09-01)",3,Mr Bahkteyar Mustafa Ameen,4,2026-07-30,387,1,0,0
car_detailers,London,Prestige car detailing London,020 3807 4067,"38 Copeman Cl, London, SE26 6EZ",5,79,https://autodetailinglondon.co.uk/,16769880,LOAKS CATERING & EVENTS LTD,active,ltd,2025-10-07,45200,First Floor Unit L Wibtoft LE17 5BH,"GRIFFIN, Luke Daniel (since 2025-10-07); MANSFIELD, Gemma Lesley (since 2025-10-07)",2,Mr Luke Daniel Griffin; Miss Gemma Lesley Mansfield,8,2026-07-16,351,1,0,0
car_detailers,London,Diamond car detailing camberwell,020 3769 9815,"7 Parkhouse St, London, SE5 7TQ",5,80,https://autodetailinglondon.co.uk/,12679287,DIAMOND CAR DETAILING LTD,active,ltd,2020-06-18,"81222,81299",32 Brooke Road London N16 7LS,"MIAH, Mohammed Abdar (since 2020-06-18)",1,Mr Mohammed Abdar Miah,13,2026-07-01,2288,1,0,0
car_detailers,London,Auto detailing Hackney,020 3807 4112,"3 Darnley Rd, London, E9 6QH",5,80,https://autodetailinglondon.co.uk/car-detailing-hackney,09574766,HACKNEY STRUCTURAL STEEL DETAILING SERVICES LTD,active,ltd,2015-05-05,74100,Capital House 61 Amhurst Road London E8 1LL,"SALITRA, Cristian Lucian (since 2015-05-05); SALITRA, Ionut Catalin (since 2019-09-28); VALIYAKULAM GOPY, Jeemon (since 2022-09-26)",3,,25,2026-04-03,4159,1,0,0
car_detailers,London,Superior Finish Mobile Car Detailing London,020 8073 2352,"212 Goswell Rd., London, EC1V 7ET",5,26,http://superiorfinishautocardetailing.site/,13489674,SRTC COURIER LTD,dissolved,ltd,2021-07-02,49410,Deacon Basra Accountants 5 Ivegate Leeds LS19 7RE,"CLARKE, Owen Liam (since 2021-07-02)",1,Owen Liam Clarke,8,2023-11-07,1909,0,0,0
car_detailers,London,Auto detailing Lambeth,020 3769 3668,"1 Stables Way, London, SE11 5UJ",5,104,https://autodetailinglondon.co.uk/car-detailing-lambeth,16023027,AA AUTO CARE & DETAILING LTD,active,ltd,2024-10-16,45200,Whiteley Arches Garage Oxenhope HX7 6NG,"ISLAM, Sunneyna Kauser (since 2024-10-16)",1,Miss Sunneyna Kauser Islam,7,2026-06-25,707,1,0,0
car_detailers,London,KC Details,07426 505186,"15-17 Clyston St, Nine Elms, London, SW8 4TT",4.9,159,https://kcdetails.co.uk/,14457183,ACE OF DETAILS LTD,active,ltd,2022-11-02,45112,71-75 Shelton Street London WC2H 9JQ,"GULFARAZ, Azar (since 2026-07-20); GULFARAZ, Faisal (since 2022-11-02)",2,Azar Gulfaraz,12,2026-07-21,1421,1,0,0
car_detailers,London,Royal gloss car detailing,020 3807 8728,"Blackhorse Rd, London, SE8 5HY",5,61,https://autodetailinglondon.co.uk/,15745209,GIMME GLOSS DETAILING LTD,active,ltd,2024-05-28,45200,22 Printers Drive Cradley Heath B64 6AP,"BENSON, Jeremy Charles (since 2024-05-28)",1,Mr Jeremy Charles Benson,5,2026-06-03,848,1,0,0
car_detailers,London,Elite Detailing & Protection(EDP),0121 744 4878,"Knightsbridge Car Park, Kinnerton St, London, SW1X 8EA",5,52,http://www.elitedetailing.co.uk/,SC727720,DKC ELITE VALETING & DETAILING LIMITED,dissolved,ltd,2022-03-28,81222,79 Thomson Crescent Prestonpans EH32 0AT,"CHERRIE, David Gordon Dominic (since 2022-03-28)",1,Mr David Gordon Dominic Cherrie,4,2025-11-04,1640,0,0,0
car_detailers,London,Sapoo Mobile Car Valet & Detailing In London,,"8 Penywern Rd, London, SW5 9ST",5,331,https://sapoo.co.uk/,13273156,BP MOBILE CAR VALETING & DETAILING LTD,active,ltd,2021-03-17,96090,Flat 9 Priors Barn House Worcester Park KT4 8FD,"PLLANA, Burim (since 2021-03-17)",1,Mr Burim Pllana,24,2026-06-03,2016,1,0,0
car_detailers,London,Bellissimoto,020 7237 6505,"36 Raymouth Rd, London, SE16 2DB",5,205,http://www.bellissimoto.london/,07776209,BELLISSIMOTO LTD,active,ltd,2011-09-16,45200,"Unit 7, The Glade Business Centre Eastern Avenue Grays RM20 3FH","YOUNG, Andrew (since 2011-09-16)",1,Mr Andrew Young,25,2026-07-27,5486,1,0,0
car_detailers,London,Jewels Passion Detailing,020 3633 8156,"297 Clare St, London, E2 9HD",4.9,147,http://www.jewelspassion.co.uk/,13216023,JEWELS PASSION DETAILING LTD,active,ltd,2021-02-22,45200,297 Clare Street London E2 9HD,"ALI, Jewel Ahmed (since 2021-02-22)",1,Mr Jewel Ahmed Ali,21,2026-03-02,2039,1,0,0
car_detailers,London,VroomGroom Car Wash and Detailing,07846 997026,"452 Holloway Rd, London, N7 6QA",5,42,http://www.vroomgroom.uk/,16595949,BEST HAND CAR WASH AND DETAILING CENTER LIMITED,active,ltd,2025-07-21,96090,32 Bowring Park Road Liverpool L14 3PA,"HARUN, Ali (since 2025-07-21)",1,Mr Ali Harun,2,2025-07-23,429,1,0,0
car_detailers,London,JC Auto Detailing London,07424 731058,,5,91,https://instagram.com/jcautodetailinglondon?,10897397,JC AUTOS LONDON LTD,active,ltd,2017-08-03,45112,239b Preston Road Wembley HA9 8PE,"CONSTANTINI, Jaad (since 2017-08-03)",1,Mr Jaad Constantini,25,2026-08-14,3338,1,0,0
car_detailers,London,Topaz Detailing | Luxury Car Detailing and Paint Protection Film Specialists,020 8961 9951,"Unit 13, 7 Premier Park Rd, London, NW10 7NZ",4.8,298,http://www.topazdetailing.com/,09547531,CARDIFF PAINT PROTECTION & DETAILING LIMITED,dissolved,ltd,2015-04-17,,Unit 4 Excelsior Road Cardiff CF14 3AT,"CLEMETT, Jonathan (since 2015-04-17); DAVIES, John (since 2015-04-17)",2,,3,2016-09-27,4177,0,0,0
car_detailers,London,AP Car Spa,020 3960 2476,"Edith Grove, London, SW10 0ED",4.9,14,https://apcarspa.co.uk/,16385450,AP CAR SPA LTD,active,ltd,2025-04-14,"45200,96090",Chelsea London Car Park London SW10 0ED,"HUSSAIN, Tariq (since 2025-04-14)",1,Mr Tariq Hussain,2,2025-08-06,527,1,0,0
car_detailers,London,Ks spotless car detailing london,07482 468968,,5,37,https://ksspotlessdetailing.com/,09062896,SPOTLESS DETAILING LIMITED,active,ltd,2014-05-30,80100,Assured Harriott Drive Warwick CV34 6TJ,"CRENSTIL ADDAE, Emanuel (since 2016-06-15); EVANS, Heath Simon (since 2014-05-30); NIEMCZYK, Tomas (since 2018-01-16); RUSSELL, Colin (since 2018-01-16)",4,Assured Group Investments Limited,25,2025-12-17,4499,1,0,0
car_detailers,London,BP Mobile Car Valeting & Detailing,07848 484050,"3 Greyhound Rd, London, W6 8NH",4.9,121,https://bpmobilevaleting.co.uk/,13273156,BP MOBILE CAR VALETING & DETAILING LTD,active,ltd,2021-03-17,96090,Flat 9 Priors Barn House Worcester Park KT4 8FD,"PLLANA, Burim (since 2021-03-17)",1,Mr Burim Pllana,24,2026-06-03,2016,1,0,0
car_detailers,London,Medusa Auto Detailing - Mobile Car Valeting London I Mobile Car Wash,020 3355 6435,"Alveston Ave, Harrow, HA3 8TG",4.9,413,http://www.medusaautodetailing.co.uk/,13482428,D I P MOBILE CAR WASH & VALETING LIMITED,active,ltd,2021-06-29,81222,16 Bramble Avenue Milton Keynes MK14 7AN,"PAICU, Daniel Ionut (since 2025-10-02); GJETA, Ervin (since 2021-06-29); HASANAJ, Daniel (since 2021-07-02)",3,Daniel-Ionut Paicu,21,2025-10-15,1912,1,0,0
driving_instructors,London,London Driving School,07533 296002,"2, Burford House, Stockwell Rd, London SW9 9PU",5,562,https://www.thelondondrivingschool.uk/,08514059,LONDON DRIVING SCHOOL LTD,active,ltd,2013-05-02,85530,2 Burford House Stockwell SW9 9PU,"ADU-SARKODIE, Emmanuel (since 2013-05-02)",1,Mr Emmanuel Adu-Sarkodie,25,2026-06-18,4892,1,0,0
driving_instructors,London,West London Driving School,07507 594824,"62 Gloucester Gardens, London, W2 6BN",5,117,https://westlondondrivingschool.co.uk/,11648082,WEST LONDON DRIVING SCHOOL LTD,dissolved,ltd,2018-10-29,85530,62 Flat E Gloucester Gardens London W2 6BN,"MIAH, Mohammed Koys (since 2018-10-29)",1,Mr Mohammed Koys Miah,9,2020-09-29,2886,0,0,0
driving_instructors,London,LIDT,020 7125 0298,"355 Commercial Rd, Stepney Green, London, E1 2PS",4.9,1810,https://lidt.co.uk/,14143876,LIDT LTD,dissolved,ltd,2022-05-31,85530,Suite G The Clock House Barking IG11 8EQ,"SAMAD, Abdus (since 2022-05-31)",1,Mr Abdus Samad,9,2024-04-23,1576,0,0,0
driving_instructors,London,London City Driving School,07973 305688,"Henry House, 275 New N Rd, London, N1 7AA",5,108,https://londoncitydrivingschool.co.uk/,15788760,LONDON CITY DRIVING SCHOOL LTD,active,ltd,2024-06-19,85530,Flat 22 Hayward House London E5 8AU,"NZAU, Mardoche (since 2024-06-19)",1,Mardoche Nzau,5,2026-07-01,826,1,0,0
driving_instructors,London,Kensington Driving School,07796 917373,"Kensington High St, London, W8 5ED",5,96,http://www.kensingtondrivinglesson.co.uk/,17357556,KENSINGTON HOUSE SCHOOL LTD,active,ltd,2026-07-23,"85200,85590",216 Whitegate Drive Blackpool FY3 9JL,"ROSSIE, Daniel Peter (since 2026-07-23)",1,Mr Daniel Peter Rossie,1,2026-07-23,62,1,0,0
driving_instructors,London,East London's Finest Driving School,07884 776977,"31 White Horse Ln, London, E1 3NE",4.9,461,https://elfdrivingschool.co.uk/,12122756,FINEST DRIVING SCHOOL LTD,active,ltd,2019-07-25,85530,34 Cotton Meadows Bolton BL1 8GA,"AHMAD, Haziq (since 2019-07-25)",1,Mr Haziq Ahmad,18,2026-07-31,2617,1,0,0
driving_instructors,London,Pimlico Driving School Ltd,07939 910915,"Unit 1, Ebury Edge, 43 Ebury Bridge Rd, London SW1W 8DX",4.9,308,https://www.pimlicodrivingschool.uk/,15945944,PIMLICO DRIVING SCHOOL LTD,active,ltd,2024-09-09,85530,"Unit 1, Ebury Edge London SW1W 8DX","TAHSIL, Hadia (since 2024-09-09)",1,Ms Hadia Tahsil,6,2026-09-18,744,1,0,0
driving_instructors,London,1Driving.co.uk Driving School,07950 994411,"82 Lovett Way, London, NW10 0UN",4.9,354,http://www.1driving.co.uk/,17371220,AAA DRIVING SCHOOL LTD,active,ltd,2026-07-30,85530,11 Birch Tree Walk Watford WD17 4SH,"ASLAM, Kamran (since 2026-07-30)",1,Kamran Aslam,1,2026-07-30,55,1,0,0
driving_instructors,London,Mutual Driving School Driving Lessons in East London,020 8880 7548,"415 Wick Ln, Bow, London, E3 2JG",4.9,1318,https://www.mutualdrivingschool.co.uk/,14016170,EAST LONDON DRIVING SCHOOL LTD,dissolved,ltd,2022-03-31,85530,28 Russell Road London E16 3QS,"RAHAT, Md Fokrul Abedin (since 2022-03-31); RAHMAN, Md Shajidur (since 2022-03-31)",2,Mr Md Shajidur Rahman; Mr Md Fokrul Abedin Rahat,11,2023-03-07,1637,0,0,0
driving_instructors,London,Drive Smart Driving School,07458 309157,"Ashmore Rd, London, W9 3DA",5,176,http://www.drivesmart.website/,14107745,DRIVE CITY DRIVING SCHOOL LTD,active,ltd,2022-05-15,85530,24 Langdale Drive Hayes UB4 8SU,"SINGH, Iqbal (since 2022-05-15)",1,Mr Iqbal Singh,9,2026-07-11,1592,1,0,0
driving_instructors,London,Ahmad Driving School,07809 432014,"15 Camden Rd, London, NW1 9LQ",5,282,https://ads.areacar.eu/,10149711,AHMAD DRIVING LIMITED,dissolved,ltd,2016-04-27,49390,4 Portsmouth Road Godalming GU8 5DW,"AHMAD, Benjamin (since 2016-04-27)",1,Mr Benjamin Ahmad,9,2018-08-28,3801,0,0,0
driving_instructors,London,Marylebone Sohel's driving school,07931 952281,"Flat 4, No public access, 132 Seymour Pl, London W1H 1NS",5,393,http://www.sohelsdrivingschool.co.uk/,16158113,ALYSSIA FLEUR MARYLEBONE SCHOOL OF DANCE LTD,active,ltd,2024-12-31,85520,3 Melrose Crescent Harrogate HG3 3SW,"SYKES, Alyssia Fleur (since 2024-12-31)",1,Ms Alyssia Fleur Sykes,3,2026-03-30,631,1,0,0
driving_instructors,London,AAA Driving School,07985 126999,"24 Watney Mkt, London, E1 2PR",5,740,http://www.aaadriving.co.uk/,17371220,AAA DRIVING SCHOOL LTD,active,ltd,2026-07-30,85530,11 Birch Tree Walk Watford WD17 4SH,"ASLAM, Kamran (since 2026-07-30)",1,Kamran Aslam,1,2026-07-30,55,1,0,0
driving_instructors,London,Herne Hill Driving School,07950 780298,"Oborne Cl, London, SE24 0HB",4.8,1026,https://www.hernehill-drivingschool.co.uk/,17193597,HERNE HILL DRIVING SCHOOL LTD,active,ltd,2026-05-01,85530,35 Coventry Road Tonbridge TN10 4QB,"WESTERN, Sarah Susan (since 2026-05-01)",1,Miss Sarah Susan Western,1,2026-05-01,145,1,0,0
driving_instructors,London,South East London Driving School,07771 779878,"6 Susan Rd, London, SE3 0JD",5,194,http://www.selondondrivingschool.co.uk/,14016170,EAST LONDON DRIVING SCHOOL LTD,dissolved,ltd,2022-03-31,85530,28 Russell Road London E16 3QS,"RAHAT, Md Fokrul Abedin (since 2022-03-31); RAHMAN, Md Shajidur (since 2022-03-31)",2,Mr Md Shajidur Rahman; Mr Md Fokrul Abedin Rahat,11,2023-03-07,1637,0,0,0
driving_instructors,London,Docklands Driving School LTD,020 7127 4893,"Docklands Driving School, 85 Myrdle St, London, E1 1HQ",4.7,358,http://www.docklandsdriving.co.uk/,09467686,DOCKLANDS DRIVING SCHOOL LTD,active,ltd,2015-03-03,85530,85 Myrdle Street The Whitechapel Centre London E1 1HQ,"AHMED, Anam (since 2015-03-03)",1,Mr Anam Ahmed,25,2026-03-24,4222,1,0,0
driving_instructors,London,DriveThruL Driving School,020 3397 7273,"1Q, 12, 12 Tiller Rd, London E14 8PX",4.9,794,https://www.drivethrul.co.uk/,17371220,AAA DRIVING SCHOOL LTD,active,ltd,2026-07-30,85530,11 Birch Tree Walk Watford WD17 4SH,"ASLAM, Kamran (since 2026-07-30)",1,Kamran Aslam,1,2026-07-30,55,1,0,0
driving_instructors,London,Holborn School of Motoring,020 7837 9707,"178 Clerkenwell Rd, London, EC1R 5DD",4.8,434,https://www.holborndrivingschool.co.uk/,08945710,A  & M SCHOOL OF MOTORING LIMITED,active,ltd,2014-03-18,85530,67 Eastover Road Bristol BS39 6HZ,"LEONARD, Matthew Paul (since 2014-03-18); CARTER, John (since 2014-03-18)",2,Mr Matthew Paul Leonard,25,2026-05-27,4572,1,0,0
driving_instructors,London,Chelsea Driving School Ltd,07510 145166,,4.9,752,http://www.chelseadrivingschool.co.uk/,07839277,CHELSEA DRIVING SCHOOL LTD,active,ltd,2011-11-08,85530,16a Rusham Road London SW12 8TH,"RISLEY, Philip John (since 2011-11-08); DEVINE, Ian (since 2012-02-26)",2,Mr Philip John Risley,25,2025-11-11,5433,1,0,0
driving_instructors,London,6S Driving School,07948 000755,"10 Lipton Rd, London, E1 0LJ",5,173,https://6sdrivingschool.com/,17371220,AAA DRIVING SCHOOL LTD,active,ltd,2026-07-30,85530,11 Birch Tree Walk Watford WD17 4SH,"ASLAM, Kamran (since 2026-07-30)",1,Kamran Aslam,1,2026-07-30,55,1,0,0
gardeners,London,Garden Services London Green,07922 659665,"2 Pembridge Pl, London, W2 4XB",5,22,https://www.garden-services-london.co.uk/,16264550,GREEN GARDEN LONDON LTD,dissolved,ltd,2025-02-19,71112,1 Goat Wharf Apartment 6 1 Goat Wharf Brentford TW8 0AS,"VAHEDIANBOURAN, Saeed (since 2025-02-19)",1,Mr Saeed Vahedianbouran,5,2026-07-14,581,0,0,0
gardeners,London,Holland Park Gardener,07749 469410,"145 Holland Park Ave, London, W11 4UT",5,58,https://myownweb.uk/gardener/,12982027,HOLLAND PARK GARDENERS LTD,dissolved,ltd,2020-10-28,81300,"Flat 13, 72, Citizen House Hornsey Road London N7 7ND","KOLAVERI, Klodian (since 2020-10-28)",1,Klodian Kolaveri,4,2021-05-04,2156,0,0,0
gardeners,London,Handy Gardeners,020 3744 0111,"53A Bollo Ln, London, W4 5LS",3.9,303,http://handygardeners.com/,15744494,AAA LANDSCAPE GARDENERS LTD,dissolved,ltd,2024-05-27,81300,15744494 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,"HONEYMAN, Ambrose (since 2024-05-27)",1,Mr Ambrose Honeyman,9,2026-07-21,849,0,0,0
gardeners,London,Harry's Gardeners,020 8158 8546,"87 Bloemfontein Rd, London, W12 7DA",,,http://harrysgardeners.co.uk/,15744494,AAA LANDSCAPE GARDENERS LTD,dissolved,ltd,2024-05-27,81300,15744494 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,"HONEYMAN, Ambrose (since 2024-05-27)",1,Mr Ambrose Honeyman,9,2026-07-21,849,0,0,0
gardeners,London,Crocus Landscapes Ltd Quality Garden Build and Maintenance in West London,07865 494363,"18 - 24 Turnham Green Terrace, Chiswick, London, W4 1QP",5,86,https://www.crocuslandscapes.co.uk/,13516354,GARDENS OF GRACE MAINTENANCE AND LANDSCAPES LIMITED,active,ltd,2021-07-17,81300,24 Rosemary Lane Peterlee SR8 3BQ,"VICKERS, Michael Joseph (since 2021-07-17)",1,Mr Michael Joseph Vickers,10,2026-07-27,1894,1,0,0
gardeners,London,Gardening Delight and Landscaping,07516 419588,"1a Lushington Rd, London, NW10 5UX",4.9,112,https://www.gardening-delight-and-landscaping.com/,15520084,GARDENING DELIGHT AND LANDSCAPING LTD,active,ltd,2024-02-24,81300,Priory View Church Street Dunstable LU5 4FG,"LUCESCU, Daniel (since 2024-02-24)",1,Mr Daniel Lucescu,7,2026-02-27,942,1,0,0
gardeners,London,Home and garden maintenance,07482 042165,"26 Standard Rd, London, NW10 6EU",4.7,10,https://www.homesandgardensmaintenance.co.uk/,12526504,HOME AND GARDEN MAINTENANCE LTD,dissolved,ltd,2020-03-19,"43390,81300",4 Upper Farm Road Basingstoke RG23 7HN,"HEATH, Andrew John (since 2020-03-19)",1,Mr Andrew John Heath,11,2025-04-15,2379,0,0,0
gardeners,London,Regent Gardens & Co. (Holland Park),07365 490661,"168 Holland Park Ave, London, W11 4HU",5,28,https://www.regentgardens.com/,02932419,REGENT GARDENS (BOOTLE) MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,1994-05-24,98000,21-22 Tapton Way Liverpool L13 1DA,"BOLGER, Liam Harry (since 2025-05-30); BROOKS, Patrick John (since 2024-08-14); JOHNSON, Alexandra (since 2023-02-07); SHEA, Pamela (since 2016-08-18); COLGAN, Catherine Patricia (since 1997-03-03); CUSHION, Steven John Patrick (since 2010-03-30); DAY, Peter James (since 1997-03-03); DURKAN, William Noel (since 1997-03-03); HILL, Clare (since 2008-07-29); JOHNSON, Stephen (since 2004-01-21); JOHNSTON, Liam Patrick (since 1997-03-03); MORRISON, Mary (since 1997-03-03); POWELL, Neil (since 1999-10-04); PROCTER, David (since 2008-07-29); RICHARDSON, John (since 2012-05-21); RILEY, Clare (since 1997-03-03); SHEPPARD, Darren Paul (since 1997-03-03); STAMPS, Rebekah, Doctor (since 1998-09-09); TILLY, Jayne Elizabeth (since 2023-05-16); WARH AM, Lynne Marie (since 2004-06-01); WHITEHOUSE STRUDWICK, Jason John (since 2005-07-22)",21,,25,2026-08-24,11810,1,0,0
gardeners,London,Ace Maintenance,020 3488 1912,"249 Staveley Gardens, Chiswick, London, W4 2TF",4.9,326,http://www.acemaintenance.co.uk/,12951307,ACE MAINTENANCE LTD,active,ltd,2020-10-14,81300,249 Staveley Gardens London W4 2TF,"BENHAMOU, Mohammed Ali (since 2020-10-14)",1,Mr Mohammed Ali Benhamou,13,2026-08-05,2170,1,0,0
gardeners,London,Gardeners Shepherd’s Bush,020 3198 2120,"21 Evesham St, London, W11 4AJ",5,1,http://gardenersshepherdsbush.org.uk/,15744494,AAA LANDSCAPE GARDENERS LTD,dissolved,ltd,2024-05-27,81300,15744494 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,"HONEYMAN, Ambrose (since 2024-05-27)",1,Mr Ambrose Honeyman,9,2026-07-21,849,0,0,0
gardeners,London,MR Landscapes,020 8087 2334,"39a Avenue Gardens, London, W3 8HB",5,30,https://www.mrlandscapes.co.uk/,09714592,MR LANDSCAPES (SURREY) LIMITED,active,ltd,2015-08-03,81300,51 South Street Isleworth TW7 7AA,"AINA, Fabio (since 2021-10-25); RIGGI, Michele (since 2015-08-03)",2,Mr Fabio Aina; Mr Michele Riggi,25,2026-09-17,4069,1,0,0
gardeners,London,The Garden Builders - Garden Design,020 3982 7261,"259 Munster Rd, London, SW6 6BW",4.7,75,https://gardenbuilders.co.uk/,SC510269,GARDEN DESIGN BUILDERS LTD.,liquidation,ltd,2015-07-07,81300,11a Dublin Street Edinburgh EH1 3PG,"MCLEAN, Brian Thomas (since 2015-07-07); THAYNE, Richard (since 2015-07-07)",2,Mr Brian Thomas Mclean,13,2023-04-03,4096,0,0,1
gardeners,London,West London Gardeners,07761 303641,,4.9,53,https://www.westlondongardeners.co.uk/,08258316,WEST LONDON GARDENERS LTD,dissolved,ltd,2012-10-18,,74 A London W14 0BG,"PRATTEN, Oliver (since 2012-10-18)",1,,3,2014-06-10,5088,0,0,0
gardeners,London,Eco Garden Construct Ltd,020 4634 9649,"23c Berghem Mews, Blythe Rd, London, W14 0HN",5,14,http://www.ecogardenconstruct.co.uk/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,15342083,ECO GARDEN CONSTRUCT LTD,active,ltd,2023-12-11,"41201,41202,43999,96090",23 C Berghem Mews London W14 0HN,"CRACIUN, Mircea-Liviu (since 2026-04-05); RATIU, Daniel Grigore Solonina (since 2026-07-01); VALEANU, Vasile-Grigore (since 2023-12-11); VERITY, Edward (since 2025-09-29)",4,Mr Mircea-Liviu Craciun,10,2026-07-16,1017,1,0,0
gardeners,London,Gardeners West Kensington,020 3198 2120,"68 Hammersmith Rd, London, W14 8UD",5,1,http://gardenerswestkensington.org.uk/,09468527,THE GARDENERS SOUTH WEST LIMITED,active,ltd,2015-03-03,81300,20 Kellaway Avenue Bristol BS6 7XR,"COSWAY, Tracey Susan (since 2026-02-12); DOYLE, James Edward (since 2015-03-03); OXENHAM, Stephen (since 2018-01-06); COSWAY, Tracey Susan (since 2024-01-04)",4,Mr James Edward Doyle,25,2026-03-12,4222,1,0,0
