vertical,city,businessName,phone,address,postcode,website,rating,reviewCount,source
nails,Manchester,"Townhouse Nail Salon, Manchester King Street",+44 20 7947 0100,"34 King St, Manchester M2 6AZ, United Kingdom",,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,4.8,325,apify
nails,Manchester,Bella Naillash – Nail Salon Manchester,+44 7356 268849,"United Kingdom, Manchester, Princess St, China Town邮政编码: M1 4LB",,https://www.bellanaillash.com/book-online,5,217,apify
nails,Manchester,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",,https://shuku.co.uk/,5,71,apify
nails,Manchester,The Glow Nail & Beauty,+44 7496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester M3 1AZ, United Kingdom",,https://linktr.ee/FaraNNail,5,59,apify
nails,Manchester,Yulia Hamilton Nails & Beauty,+44 7858 358562,"40 Laystall St, Manchester M1 2JQ, United Kingdom",,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,4.8,686,apify
nails,Manchester,Bella Spa,+44 7554 012698,"12 Faraday St, Manchester M1 1BE, United Kingdom",,https://www.instagram.com/bellaspa_manchester/,4.9,3486,apify
nails,Manchester,Love Nails Manchester,+44 161 222 3690,"28 Blackfriars St, Salford M3 5BQ, United Kingdom",,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,4.7,142,apify
nails,Manchester,LILLY NAIL AND BEAUTY MANCHESTER,+44 161 425 5858,"14-16 Whitworth St, Manchester M1 3BS, United Kingdom",,http://www.lillynailnbeauty.co.uk/,4.5,657,apify
nails,Manchester,Bisou Nail Studio,+44 7888 697303,"73-75 Lever St, Manchester M1 2AP, United Kingdom",,,4.7,40,apify
nails,Manchester,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",,http://instagram.com/acenailsmcr/,4.9,170,apify
electrician,Manchester,R K Electrical Services ltd,+44 7971 189285,"9 Hawthorn Way, Ashgate, Chesterfield S42 7JS, United Kingdom",,http://www.rkelectricalltd.co.uk/,5,20,apify
electrician,Manchester,AF Electrical & Mechanical Contractors,+44 1332 648599,"19 St Christopher's Way, Derby DE24 8JY, United Kingdom",,http://www.afelectricalcontractors.co.uk/,4.9,135,apify
electrician,Manchester,WDS Electrical Services LTD,+44 7534 262216,"W End Rd, Benington, Boston PE22 0BU, United Kingdom",,http://www.wds-electrical.co.uk/,5,3,apify
electrician,Manchester,AK Electrical Services,+44 7888 731205,"Brooklyn Ave, Manchester M16 0BY, United Kingdom",,http://akelectricians.co.uk/,5,279,apify
electrician,Manchester,EV Charging Solutions,+44 115 966 4895,"Daleside House, Calverton, Nottingham NG14 6LL, United Kingdom",,https://evchargingsolutions.co.uk/,4.2,23,apify
electrician,Manchester,Phil's Auto Electrics ltd,+44 7868 550631,"14 The Triangle, Ilkeston DE7 4AP, United Kingdom",,https://www.facebook.com/profile.php?id=100091121261678,4.5,83,apify
electrician,Manchester,The Emergency Electricians,+44 7703 295654,"39 Slade Ln, Levenshulme, Manchester M13 0QJ, United Kingdom",,https://www.theemergencyelectricians.co.uk/,5,257,apify
electrician,Manchester,AH Electrical Services,,,,http://ahelectricalservices.co.uk/,5,407,apify
electrician,Manchester,24 Hour Electrician Manchester,+44 161 531 8870,"32 Dean St, Manchester M4 5BG, United Kingdom",,https://mcr24hrelectrician.lovable.app/,4.9,55,apify
dog_groomers,Manchester,"Arch & Bark Ltd, Manchester City Centre Dog Groomers",+44 7776 765473,"4 Mirabel St, Cheetham Hill, Manchester M3 1PJ, United Kingdom",,https://www.archandbark.co.uk/,5,10,apify
dog_groomers,Manchester,Puppy Power Mobile Dog Grooming,+44 7926 523732,"3 Imperial Wy, Manchester M9 8GQ, United Kingdom",,,4.3,44,apify
