city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,"Arch & Bark Ltd, Manchester City Centre Dog Groomers",+44 7776 765473,"4 Mirabel St, Cheetham Hill, Manchester M3 1PJ, United Kingdom",,https://www.archandbark.co.uk/,5,10,apify
Manchester,Puppy Power Mobile Dog Grooming,+44 7926 523732,"3 Imperial Wy, Manchester M9 8GQ, United Kingdom",,,4.3,44,apify
Manchester,The Barkside Manchester City Centre,+44 7876 623579,"Richmond House, Travis St, Manchester M1 2NF, United Kingdom",,http://www.thebarksidemcr.co.uk/,4.9,131,apify
Manchester,THEO'S,+44 7590 194347,"Lancaster House, 80 Princess St, Manchester M1 6NF, United Kingdom",,https://www.theosdogs.co.uk/,4.9,18,apify
Manchester,Garden Tails,+44 7726 429209,"6 Rectory Ave, Prestwich, Manchester M25 1DE, United Kingdom",,https://www.gardentails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7680167830431826678,5,105,apify
Manchester,Woof To Wag,+44 7963 592498,"59 Doncaster Ave, Withington, Manchester M20 1DH, United Kingdom",,,5,11,apify
Manchester,J.C Pets pamper & Groom,+44 7769 721750,"95 Vine St, Abbey Hey, Manchester M18 8SR, United Kingdom",,,4.8,18,apify
Manchester,Shearzam dog grooming,+44 7850 799266,"2, Manchester M18 7BF, United Kingdom",,,5,23,apify
Manchester,Loubie Lou’s Dog Grooming,+44 7494 755736,"444 Hollinwood Ave, Manchester M40 0JH, United Kingdom",,,5,21,apify
Manchester,"The Mutts Club, Manchester City Centre Dog Grooming",+44 161 413 3969,"Unit 5, The Mutts Club, 2 Lampwick Ln, Manchester M4 6BU, United Kingdom",,http://www.themuttsclub.co.uk/,4.9,76,apify
