city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,R K Electrical Services ltd,+44 7971 189285,"9 Hawthorn Way, Ashgate, Chesterfield S42 7JS, United Kingdom",,http://www.rkelectricalltd.co.uk/,5,20,apify
Manchester,AF Electrical & Mechanical Contractors,+44 1332 648599,"19 St Christopher's Way, Derby DE24 8JY, United Kingdom",,http://www.afelectricalcontractors.co.uk/,4.9,135,apify
Manchester,WDS Electrical Services LTD,+44 7534 262216,"W End Rd, Benington, Boston PE22 0BU, United Kingdom",,http://www.wds-electrical.co.uk/,5,3,apify
Manchester,AK Electrical Services,+44 7888 731205,"Brooklyn Ave, Manchester M16 0BY, United Kingdom",,http://akelectricians.co.uk/,5,279,apify
Manchester,EV Charging Solutions,+44 115 966 4895,"Daleside House, Calverton, Nottingham NG14 6LL, United Kingdom",,https://evchargingsolutions.co.uk/,4.2,23,apify
Manchester,Phil's Auto Electrics ltd,+44 7868 550631,"14 The Triangle, Ilkeston DE7 4AP, United Kingdom",,https://www.facebook.com/profile.php?id=100091121261678,4.5,83,apify
Manchester,The Emergency Electricians,+44 7703 295654,"39 Slade Ln, Levenshulme, Manchester M13 0QJ, United Kingdom",,https://www.theemergencyelectricians.co.uk/,5,257,apify
Manchester,AH Electrical Services,,,,http://ahelectricalservices.co.uk/,5,407,apify
Manchester,24 Hour Electrician Manchester,+44 161 531 8870,"32 Dean St, Manchester M4 5BG, United Kingdom",,https://mcr24hrelectrician.lovable.app/,4.9,55,apify
Liverpool,MERSEY ELECTRICAL LTD,,,L3 9LQ,,,,powuk
Liverpool,KMCMAHON ELECTRICAL LTD,,,L13 9BN,,,,powuk
Liverpool,ISLADORE LIMITED,,,L12 7JB,,,,powuk
Liverpool,JF ELECTRICS LTD,,,L18 1DG,,,,powuk
Liverpool,EES CONTRACTS LTD,,,L37 3NP,,,,powuk
Liverpool,AIGBURTH ELECTRICAL LTD,,,L17 9PS,,,,powuk
Liverpool,BEECHWOOD ELECTRICAL CONTRACTING LIMITED,,,L20 7DA,,,,powuk
Liverpool,J & J HOMES LTD,,,L18 1DG,,,,powuk
Liverpool,WIN A BUILDER UK LIMITED,,,L33 7UY,,,,powuk
Liverpool,MACLEC LIMITED,,,L2 2DY,,,,powuk
Liverpool,ENGINEERING SOLUTIONS & AUTOMATION LIMITED,,,L34 9AB,,,,powuk
Liverpool,M W S ELECTRICAL (NW) LTD,,,L15 5AF,,,,powuk
Liverpool,AMAZON GARAGE DOORS LIMITED,,,L2 2DY,,,,powuk
Liverpool,J1 ELECTRICAL LIMITED,,,L12 9LE,,,,powuk
Liverpool,BCH ELECTRICAL LTD,,,L18 1DG,,,,powuk
Liverpool,B KELLY ELECTRICAL LTD,,,L16 7QR,,,,powuk
Liverpool,BENZAR ELECTRONICS LTD,,,L24 9HZ,,,,powuk
Liverpool,DENEV ELECTRICAL LIMITED,,,L36 1XG,,,,powuk
Liverpool,VB ELECTRICAL NW LTD,,,L31 8AP,,,,powuk
Liverpool,RJS EC&I LTD,,,L12 7LJ,,,,powuk
Liverpool,ALFER ELECTRICS LTD,,,L9 3BR,,,,powuk
Liverpool,PC ELECTRICAL SOLUTIONS LTD,,,L35 7NW,,,,powuk
Liverpool,S M ELECTRICAL SERVICES (MERSEYSIDE) LIMITED,,,L12 4YQ,,,,powuk
Liverpool,GRC SOLAR LTD,,,L20 7BZ,,,,powuk
Liverpool,ATLANTIC ELECTRICAL NORTHWEST LIMITED,,,L33 7SQ,,,,powuk
Liverpool,PAUL WOOD ELECTRICAL LIMITED,,,L12 0RU,,,,powuk
Liverpool,P.J. ELECTRICAL INSTALLATIONS LTD,,,L3 5NW,,,,powuk
Liverpool,AGENCY UN LIMITED,,,L5 6RW,,,,powuk
Liverpool,THAMES & TAY ENERGY DIVISION LTD,,,L1 4AR,,,,powuk
Liverpool,DAN GROUP CONSTRUCTION LTD,,,L5 9PR,,,,powuk
Liverpool,ARKHAM M&E LTD,,,L9 4RE,,,,powuk
Liverpool,M.S.I ELECTRICAL LTD,,,L8 0RS,,,,powuk
Liverpool,BAXY ELECTRICS LIMITED,,,L40 7TU,,,,powuk
Liverpool,BORDER SHIELD LIMITED,,,L40 8JE,,,,powuk
Liverpool,ELDING ELECTRICAL SERVICES LIMITED,,,L4 5QQ,,,,powuk
Liverpool,JMH ELECTRICAL CONTRACTORS LTD,,,L37 4AA,,,,powuk
Liverpool,ELECTRABILITY LTD,,,L37 7HH,,,,powuk
Liverpool,SJW ELECTRICAL SERVICES LTD,,,L3 5NW,,,,powuk
Liverpool,LUGA ELECTRICAL LTD,,,L8 0YG,,,,powuk
Liverpool,WHITEDC ELEC LTD,,,L37 4DD,,,,powuk
Liverpool,AES (NW) LIMITED,,,L40 8JW,,,,powuk
Liverpool,CS NORTHERN ELECTRICAL LIMITED,,,L9 6GD,,,,powuk
Liverpool,J J HUTTON ELECTRICAL ENGINEERING CONTRACTORS LIMITED,,,L36 9TT,,,,powuk
Liverpool,"SALVUS ELECTRICAL, FIRE AND SECURITY LTD",,,L12 7JB,,,,powuk
Liverpool,SIREN FIRE & SECURITY LTD,,,L31 2PS,,,,powuk
