vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,accounts_next_due,confirmation_next_due,has_charges,has_insolvency,directors_count,directors,director_nationalities,psc_count,psc_names,psc_control_types,total_filings,filing_types,last_filing,company_age_days,is_active,is_limited
nails,Manchester,Yulia Hamilton Nails & Beauty,07858 358562,"40 Laystall St, Manchester, M1 2JQ",4.8,686,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,15554494,YULIA HAMILTON NAILS & BEAUTY LTD,active,ltd,2024-03-11,96020,25 Woodward Street Manchester M4 7BQ,2027-12-30,2027-04-26,False,False,1,"MARTEMIANOVA, Iuliia Dmitrievna (since 2024-03-11)",Russian,1,Miss Iuliia Dmitrievna Martemianova,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,12,"{""accounts"": 3, ""confirmation-statement"": 3, ""persons-with-significant-control"": 2, ""address"": 1, ""officers"": 2, ""incorporation"": 1}",2026-06-24,926,1,1
nails,Manchester,"Townhouse Nail Salon, Manchester King Street",020 7947 0100,"34 King St, Manchester, M2 6AZ",4.8,325,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,14500789,"HIS AND HERS SALON, NAILS & BEAUTY LTD",dissolved,ltd,2022-11-23,96020,8a Kingsway House Bedworth CV12 8HY,,,False,True,1,"FERRELL, Liley Rosey (since 2022-11-23)",Filipino,1,Miss Liley Rosey Ferrell,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,9,"{""gazette"": 2, ""insolvency"": 3, ""address"": 1, ""resolution"": 1, ""dissolution"": 1, ""incorporation"": 1}",2025-09-18,1400,0,1
nails,Manchester,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ",5,71,https://shuku.co.uk/,12008742,SHUKU NAIL BAR LTD,dissolved,ltd,2019-05-21,96090,1a Hankinson Way Manchester M6 5JA,,,False,False,1,"NOZARY, Shuku (since 2019-05-21)",Iranian,1,Mrs Shuku Nozary,significant-influence-or-control,3,"{""gazette"": 2, ""incorporation"": 1}",2021-03-23,2682,0,1
nails,Manchester,Nails by Yulia Hamilton,07858 358562,"New Church House, 34 John Dalton St, Manchester, M2 6LE",4.8,592,https://www.mcrnails.co.uk/,13742131,NAILS BY YULIA HAMILTON LIMITED,dissolved,ltd,2021-11-14,96020,Apartment C401 9 Owen Street Manchester M15 4UH,,,False,False,1,"MARTEMIANOVA, Iuliia Dmitrievna (since 2021-11-14)",British,1,Miss Iuliia Dmitrievna Martemianova,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,15,"{""gazette"": 2, ""dissolution"": 1, ""accounts"": 3, ""confirmation-statement"": 3, ""persons-with-significant-control"": 2, ""officers"": 2, ""address"": 1, ""incorporation"": 1}",2026-03-24,1774,0,1
nails,Manchester,Bella Spa,07554 012698,"12 Faraday St, Manchester, M1 1BE",4.9,3486,https://www.instagram.com/bellaspa_manchester/,14041608,BELLA SPA NAILS LTD,active,ltd,2022-04-12,96020,207 Nantwich Road Crewe CW2 6DA,2028-01-31,2027-04-11,False,False,1,"NGUYEN, Thuy Giang (since 2022-04-12)",Vietnamese,1,Thuy Giang Nguyen,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,9,"{""accounts"": 4, ""confirmation-statement"": 4, ""incorporation"": 1}",2026-09-09,1625,1,1
nails,Manchester,The Glow Nail & Beauty,07496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester, M3 1AZ",5,59,https://linktr.ee/FaraNNail,16690628,AMBER GLOW NAILS & BEAUTY LTD,active,ltd,2025-09-03,96020,225 Garratt Lane London SW18 4DT,2027-06-03,2027-09-02,False,False,1,"TRAN, Thi Bich Phuong (since 2025-09-03)",British,1,Ms Thi Bich Phuong Tran,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,2,"{""confirmation-statement"": 1, ""incorporation"": 1}",2026-09-05,385,1,1
nails,Manchester,Classy Nails & Beauty Manchester,0161 971 1665,"1 Whittle St, Manchester, M4 1LT",4.7,622,https://www.instagram.com/classynailsandbeautymcr/?hl=en,15631901,CLASSY NAILS & BEAUTY MANCHESTER LIMITED,dissolved,ltd,2024-04-10,96020,Black Horse Chambers 231 Elliott Street Manchester M29 8DG,,,False,False,1,"NGUYEN, Tien Van (since 2024-04-10)",British,1,Mr Tien Van Nguyen,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,4,"{""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-06-02,896,0,1
nails,Manchester,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ",4.9,170,http://instagram.com/acenailsmcr/,15146418,ACE NAILS & BEAUTY LTD,active,ltd,2023-09-18,96020,6 Higher Road Manchester M41 9BQ,2027-06-30,2027-09-03,False,False,1,"VU, Quan Van (since 2023-09-18)",Vietnamese,1,Mr Quan Van Vu,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,8,"{""confirmation-statement"": 3, ""accounts"": 2, ""persons-with-significant-control"": 1, ""officers"": 1, ""incorporation"": 1}",2026-09-09,1101,1,1
nails,Manchester,M1 Nails Shudehill,0161 526 0776,"15a Shudehill, Manchester, M4 2AF",4.5,1439,https://m1nails2024.setmore.com/,13722598,M1 NAILS SHUDEHILL LTD,dissolved,ltd,2021-11-03,96020,7 Shudehill Manchester M4 2AF,,,False,False,1,"LE, Cong Khanh (since 2021-11-03)",British,1,Mr Cong Khanh Le,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,3,"{""gazette"": 2, ""incorporation"": 1}",2023-05-02,1785,0,1
nails,Manchester,LILLY NAIL AND BEAUTY MANCHESTER,0161 425 5858,"14-16 Whitworth St, Manchester, M1 3BS",4.5,657,http://www.lillynailnbeauty.co.uk/,15504353,LILLY NAIL AND BEAUTY NORTHWICH LTD,active,ltd,2024-02-19,96020,27 Castle Street Northwich CW8 1BA,2027-11-18,2027-02-18,False,False,1,"NGUYEN, Ha Hai (since 2024-02-19)",British,1,Ms Ha Hai Nguyen,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,6,"{""accounts"": 3, ""confirmation-statement"": 2, ""incorporation"": 1}",2026-04-20,947,1,1
nails,Manchester,Misha & Eti Beauty Studio,0161 393 3388,"118 High St, Manchester, M4 1HQ",4.9,273,http://mishaetibeauty.co.uk/,14781129,MISHA & ETI BEAUTY STUDIO LTD,active,ltd,2023-04-04,96020,118 High Street Manchester M4 1HQ,2027-01-31,2027-04-03,False,False,2,"GHASEMZADEH, Ehteram (since 2023-04-04); MESRI, Mahshid (since 2023-04-04)",Iranian,2,Miss Mahshid Mesri; Mrs Ehteram Ghasemzadeh,ownership-of-shares-25-to-50-percent; right-to-appoint-and-remove-directors; voting-rights-25-to-50-percent,10,"{""confirmation-statement"": 3, ""accounts"": 4, ""address"": 2, ""incorporation"": 1}",2026-04-10,1268,1,1
nails,Manchester,Love Nails Manchester,0161 222 3690,"28 Blackfriars St, Salford, M3 5BQ",4.7,142,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,15631901,CLASSY NAILS & BEAUTY MANCHESTER LIMITED,dissolved,ltd,2024-04-10,96020,Black Horse Chambers 231 Elliott Street Manchester M29 8DG,,,False,False,1,"NGUYEN, Tien Van (since 2024-04-10)",British,1,Mr Tien Van Nguyen,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,4,"{""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-06-02,896,0,1
nails,Manchester,JANEA Nails & Beauty,0161 376 5648,"15-17 Chapel Walks, Manchester, M2 1HN",4.6,275,https://janea.co.uk/,14825958,A A NAILS & BEAUTY LTD,active,ltd,2023-04-25,96090,47 Salusbury Road London NW6 6NJ,2027-02-28,2027-04-24,False,False,2,"MINICARU, Anca Iuliana (since 2023-04-25); SHAIKH, Amir Ahmad (since 2023-04-25)",British,2,Mr Amir Ahmad Shaikh; Ms Anca Iuliana Minicaru,ownership-of-shares-25-to-50-percent; voting-rights-25-to-50-percent,8,"{""accounts"": 3, ""confirmation-statement"": 3, ""address"": 1, ""incorporation"": 1}",2026-05-20,1247,1,1
nails,Manchester,Bella Naillash – Nail Salon Manchester,07356 268849,"Manchester, Princess St, China Town",5,217,https://www.bellanaillash.com/book-online,16728880,BELLA BEA HAIR STUDIO LTD,active,ltd,2025-09-19,96020,5 Canon Court Bolton BL1 1PZ,2027-06-19,2027-01-30,False,False,1,"COOK, Gemma Marie (since 2025-09-19)",British,1,Gemma Marie Cook,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,3,"{""confirmation-statement"": 1, ""change-of-name"": 1, ""incorporation"": 1}",2026-03-17,369,1,1
nails,Manchester,Beauty and Bubbles,0161 228 3375,"47 Dale St, Manchester, M1 2HF",4.7,1413,https://www.beautyandbubbles.co.uk/,07965805,BEAUTY AND BUBBLES LTD,active,ltd,2012-02-27,96020,47 Dale Street Manchester M1 2HF,2027-09-30,2027-02-08,False,False,2,"LEESON, Daniel, Mr. (since 2012-02-27); SIXSMITH, Mark, Mr. (since 2012-02-27)",British,2,Mr Daniel Leeson; Mr Mark Sixsmith,ownership-of-shares-25-to-50-percent,25,"{""accounts"": 12, ""confirmation-statement"": 10, ""officers"": 1, ""change-of-name"": 1, ""resolution"": 1}",2026-03-17,5322,1,1
nails,Manchester,Bisou Nail Studio,07888 697303,"73-75 Lever St, Manchester, M1 2AP",4.7,40,,11700575,BISOU NAILS SYSTEM LTD,active,ltd,2018-11-28,"47890,47910",65 Hollywood Towers Stockport SK3 0HL,2023-08-31,2023-11-27,False,False,2,"SEHAR, Rabia (since 2018-11-28); SIMKUTE, Greta (since 2018-11-28)",Lithuanian; British,2,Mrs Rabia Sehar; Mrs Greta Simkute,ownership-of-shares-25-to-50-percent; voting-rights-25-to-50-percent,10,"{""dissolution"": 1, ""gazette"": 1, ""confirmation-statement"": 4, ""accounts"": 3, ""incorporation"": 1}",2023-11-11,2856,1,1
nails,Manchester,Eleganza Nails,07397 303767,"49 Piccadilly 49 Piccadilly House office number 313, Manchester, M1 2AP",5,121,,15921458,ELEGANZA NAILS LTD,active,ltd,2024-08-28,96020,18d Church Street West Manchester M26 2SQ,2027-05-30,2027-08-27,False,False,1,"YAZDAN KHAH, Leila (since 2024-08-28)",Iranian,1,Miss Leila Yazdan Khah,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,5,"{""confirmation-statement"": 2, ""accounts"": 2, ""incorporation"": 1}",2026-09-11,756,1,1
nails,Manchester,Ivy Nails,0161 236 8732,"14a Oxford Rd, Manchester, M1 5QA",4.2,676,https://www.ivynailsmanchester.co.uk/,10447087,IVY NAILS LIMITED,active,ltd,2016-10-26,96020,7 Victoria Road Nottingham NG4 2LA,2027-06-29,2026-12-30,False,False,3,"XIAO, Wei (since 2026-04-30); JIN, Donghe (since 2018-04-05); XIAO, Wei (since 2016-10-26)",Chinese,4,Mrs Wei Xiao,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,25,"{""accounts"": 9, ""persons-with-significant-control"": 4, ""officers"": 2, ""address"": 1, ""confirmation-statement"": 7, ""gazette"": 2}",2026-06-29,3619,1,1
nails,Manchester,Create & Coat Nail Salon,07445 630465,"Fl 0, Harvey Nichols, 21 New Cathedral St, Manchester M1 1AD",4.6,71,,SC825187,LUSH NAILS & SPA COATBRIDGE LIMITED,active,ltd,2024-10-08,96020,6 St. John Street Coatbridge ML5 3EJ,2027-07-31,2026-10-07,False,False,1,"DOAN THU, Hang (since 2024-10-08)",British,1,Ms Hang Doan Thu,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,3,"{""accounts"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-05-22,715,1,1
nails,Manchester,Nails Icon,07928 195181,"76 Bridge St, Manchester, M3 2RJ",4.3,134,https://nailsicon.loviebooking.co.uk/,15969441,NAILS ICON LTD,active,ltd,2024-09-20,96020,76 Bridge Street Manchester M3 2RJ,2027-06-30,2026-09-19,False,False,1,"NGO, Hieu Quang (since 2024-09-20)",Vietnamese,1,Mr Hieu Quang Ngo,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,3,"{""accounts"": 1, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-02-09,733,1,1
electrician,Manchester,24 Hour Electrician Manchester,0161 531 8870,"32 Dean St, Manchester, M4 5BG",4.9,55,https://mcr24hrelectrician.lovable.app/,11455820,EMERGENCY ELECTRICIAN 24 HOUR GRIP ELECTRIC LTD,active,ltd,2018-07-09,"43210,46690,68100",Top Flat Dean House 121 London Road North Redhill RH1 3AL,2027-04-30,2027-05-23,False,False,1,"ZAFAR, Usman Ahmed (since 2018-07-09)",British,1,Mr Usman Ahmed Zafar,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; ownership-of-shares-75-to-100-percent-as-firm; right-to-appoint-and-remove-directors,25,"{""confirmation-statement"": 9, ""accounts"": 7, ""officers"": 2, ""persons-with-significant-control"": 2, ""address"": 4, ""change-of-name"": 1}",2026-06-04,2998,1,1
electrician,Manchester,The Emergency Electricians,07703 295654,"39 Slade Ln, Levenshulme, Manchester, M13 0QJ",5,257,https://www.theemergencyelectricians.co.uk/,17183608,ARS EMERGENCY ELECTRICIANS LTD,active,ltd,2026-04-27,96090,6 John Parker Square London SW11 2HP,2028-01-27,2027-04-26,False,False,1,"SHAFIQUE, Zeeshan (since 2026-04-27)",British,1,Mr Zeeshan Shafique,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,1,"{""incorporation"": 1}",2026-04-27,149,1,1
electrician,Manchester,Romelec Electrical Limited,,"304, Beaumont Building, 22 Mirabel St, Cheetham Hill, Manchester M3 1DX",5,239,https://www.romelec.co.uk/,15397963,ROMELEC ELECTRICAL LTD,active,ltd,2024-01-08,43210,304 Beaumont Building Mirabel Street Manchester M3 1DX,2025-10-08,2026-01-07,False,False,1,"GAMBO, Roman (since 2024-01-08)",British,1,Mr Roman Gambo,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,5,"{""address"": 1, ""gazette"": 2, ""confirmation-statement"": 1, ""incorporation"": 1}",2026-07-10,989,1,1
electrician,Manchester,AES Electrical Services,07490 705167,"Hanworth Cl, Manchester, M13 9LD",5,160,https://www.aeselectricians.co.uk/,14050403,AES ELECTRICAL SERVICES LIMITED,dissolved,ltd,2022-04-17,43210,2 Springfield Road Crawley RH11 8AD,,,False,False,1,"BUCKINGHAM, Jamie (since 2022-04-17)",British,1,Mr Jamie Buckingham,ownership-of-shares-75-to-100-percent; voting-rights-75-to-100-percent; right-to-appoint-and-remove-directors,10,"{""gazette"": 2, ""officers"": 1, ""address"": 1, ""confirmation-statement"": 2, ""accounts"": 2, ""change-of-name"": 1, ""incorporation"": 1}",2025-07-29,1620,0,1
