city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,House of Dreams Manchester,+44 7310 241431,,,https://hofdreams.co.uk/?utm_source=google+organic&utm_medium=organic&utm_campaign=google+my+business,5,74,apify
Manchester,Manchester Green Glow,+44 7947 329197,,,https://manchestergreenglow.co.uk/,5,21,apify
Manchester,Seaforde Gardens & Tropical Butterfly House,+44 28 4481 1225,"Seaforde, Downpatrick BT30 8PG, United Kingdom",,http://www.seafordegardens.com/,4.5,934,apify
Manchester,CleanCuts Lawn Kings • Property/Grounds Maintenance,+44 7455 726179,"Claremont Rd, Manchester M14 4TS, United Kingdom",,https://cleancutsmcr.co.uk/,4.9,500,apify
Manchester,James Moran Gardening,+44 7771 895813,,,,5,14,apify
Manchester,Manchester Gardening,+44 7843 187401,,,https://manchester-gardening.co.uk/,4.3,6,apify
Manchester,Eco-Gardener,+44 7785 708185,"Leyland Ave, Manchester M20 6EW, United Kingdom",,http://www.eco-gardener.co.uk/,5,14,apify
Manchester,KMR Gardens & Landscapes,+44 7926 900922,"194 Lloyd St S, Fallowfield, Manchester M14 7DY, United Kingdom",,http://kmr-gardens-and-landscapes.co.uk/,4.9,50,apify
Manchester,Failsworth Landscapes and Gardens,+44 7377 373153,"39 Rolls Cres, Hulme, Manchester M15 5FT, United Kingdom",,http://trimnhedgegardenmaintenance.com/,5,27,apify
Manchester,Firswood Gardens,+44 7536 981445,"Rye Bank Rd, Old Trafford, Stretford, Manchester M16 0HS, United Kingdom",,http://www.firswoodgardens.co.uk/,5,12,apify
