city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,"Townhouse Nail Salon, Manchester King Street",+44 20 7947 0100,"34 King St, Manchester M2 6AZ, United Kingdom",,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,4.8,325,apify
Manchester,Bella Naillash – Nail Salon Manchester,+44 7356 268849,"United Kingdom, Manchester, Princess St, China Town邮政编码: M1 4LB",,https://www.bellanaillash.com/book-online,5,217,apify
Manchester,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",,https://shuku.co.uk/,5,71,apify
Manchester,The Glow Nail & Beauty,+44 7496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester M3 1AZ, United Kingdom",,https://linktr.ee/FaraNNail,5,59,apify
Manchester,Yulia Hamilton Nails & Beauty,+44 7858 358562,"40 Laystall St, Manchester M1 2JQ, United Kingdom",,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,4.8,686,apify
Manchester,Bella Spa,+44 7554 012698,"12 Faraday St, Manchester M1 1BE, United Kingdom",,https://www.instagram.com/bellaspa_manchester/,4.9,3486,apify
Manchester,Love Nails Manchester,+44 161 222 3690,"28 Blackfriars St, Salford M3 5BQ, United Kingdom",,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,4.7,142,apify
Manchester,LILLY NAIL AND BEAUTY MANCHESTER,+44 161 425 5858,"14-16 Whitworth St, Manchester M1 3BS, United Kingdom",,http://www.lillynailnbeauty.co.uk/,4.5,657,apify
Manchester,Bisou Nail Studio,+44 7888 697303,"73-75 Lever St, Manchester M1 2AP, United Kingdom",,,4.7,40,apify
Manchester,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",,http://instagram.com/acenailsmcr/,4.9,170,apify
