vertical,city,businessName,phone,address,rating,reviewCount,website,place_id,source,company_number,company_status,incorporation_date,sic_codes,registered_address,director_name,director_role
nails,Manchester,Yulia Hamilton Nails & Beauty,07858 358562,"40 Laystall St, Manchester, M1 2JQ",4.8,686,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,ChIJqc1GHw2xe0gRHlFJOBK91nU,serpapi,15554494,active,,96020,25 Woodward Street Manchester M4 7BQ,"MARTEMIANOVA, Iuliia Dmitrievna",director
nails,Manchester,"Townhouse Nail Salon, Manchester King Street",020 7947 0100,"34 King St, Manchester, M2 6AZ",4.8,325,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,ChIJrY2aHTyxe0gRe6TjAWi54hI,serpapi,,,,,,,
nails,Manchester,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ",5,71,https://shuku.co.uk/,ChIJN7qBb4Gxe0gRW-D92Q1OQvg,serpapi,,,,,,,
nails,Manchester,Nails by Yulia Hamilton,07858 358562,"New Church House, 34 John Dalton St, Manchester, M2 6LE",4.8,592,https://www.mcrnails.co.uk/,ChIJSZsr8Zixe0gRNL_U1fmA9bg,serpapi,13742131,dissolved,,96020,Apartment C401 9 Owen Street Manchester M15 4UH,"MARTEMIANOVA, Iuliia Dmitrievna",director
nails,Manchester,Bella Spa,07554 012698,"12 Faraday St, Manchester, M1 1BE",4.9,3486,https://www.instagram.com/bellaspa_manchester/,ChIJYziDlcCxe0gR1ly9dKIhVn0,serpapi,14041608,active,,96020,207 Nantwich Road Crewe CW2 6DA,"NGUYEN, Thuy Giang",director
nails,Manchester,The Glow Nail & Beauty,07496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester, M3 1AZ",5,59,https://linktr.ee/FaraNNail,ChIJtyv3opyxe0gRtClj_xtFY4o,serpapi,,,,,,,
nails,Manchester,Classy Nails & Beauty Manchester,0161 971 1665,"1 Whittle St, Manchester, M4 1LT",4.7,622,https://www.instagram.com/classynailsandbeautymcr/?hl=en,ChIJpYaG3juxe0gRnCGKBBEZcVc,serpapi,15631901,dissolved,,96020,Black Horse Chambers 231 Elliott Street Manchester M29 8DG,"NGUYEN, Tien Van",director
nails,Manchester,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ",4.9,170,http://instagram.com/acenailsmcr/,ChIJUddMoVaxe0gR24bb-Zu0shM,serpapi,15146418,active,,96020,6 Higher Road Manchester M41 9BQ,"VU, Quan Van",director
nails,Manchester,M1 Nails Shudehill,0161 526 0776,"15a Shudehill, Manchester, M4 2AF",4.5,1439,https://m1nails2024.setmore.com/,ChIJDVjzWN6xe0gRO_HDw4cruUo,serpapi,13722598,dissolved,,96020,7 Shudehill Manchester M4 2AF,"LE, Cong Khanh",director
nails,Manchester,LILLY NAIL AND BEAUTY MANCHESTER,0161 425 5858,"14-16 Whitworth St, Manchester, M1 3BS",4.5,657,http://www.lillynailnbeauty.co.uk/,ChIJuXrl8JWxe0gRs0oicn73uJI,serpapi,,,,,,,
nails,Manchester,Misha & Eti Beauty Studio,0161 393 3388,"118 High St, Manchester, M4 1HQ",4.9,273,http://mishaetibeauty.co.uk/,ChIJG6G3ZEixe0gRXwREFuOCqFY,serpapi,14781129,active,,96020,118 High Street Manchester M4 1HQ,"GHASEMZADEH, Ehteram",director
nails,Manchester,Love Nails Manchester,0161 222 3690,"28 Blackfriars St, Salford, M3 5BQ",4.7,142,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,ChIJxR2XUeaxe0gRwpsnlg2NZhY,serpapi,,,,,,,
nails,Manchester,JANEA Nails & Beauty,0161 376 5648,"15-17 Chapel Walks, Manchester, M2 1HN",4.6,275,https://janea.co.uk/,ChIJC_H_HICxe0gRY6BMkYYJ9mE,serpapi,,,,,,,
nails,Manchester,Bella Naillash – Nail Salon Manchester,07356 268849,"Manchester, Princess St, China Town",5,217,https://www.bellanaillash.com/book-online,ChIJJaMoIY2xe0gRtZpMvb2InWg,serpapi,,,,,,,
nails,Manchester,Beauty and Bubbles,0161 228 3375,"47 Dale St, Manchester, M1 2HF",4.7,1413,https://www.beautyandbubbles.co.uk/,ChIJM6Q7j76xe0gRfjs-_l23_Ko,serpapi,07965805,active,,96020,47 Dale Street Manchester M1 2HF,"LEESON, Daniel, Mr.",director
nails,Manchester,Bisou Nail Studio,07888 697303,"73-75 Lever St, Manchester, M1 2AP",4.7,40,,ChIJ9zYmCwuxe0gR_nk2SM1kwiU,serpapi,,,,,,,
nails,Manchester,Eleganza Nails,07397 303767,"49 Piccadilly 49 Piccadilly House office number 313, Manchester, M1 2AP",5,121,,ChIJX0w19Oqxe0gRbdNX1_bTjHM,serpapi,15921458,active,,96020,18d Church Street West Manchester M26 2SQ,"YAZDAN KHAH, Leila",director
nails,Manchester,Ivy Nails,0161 236 8732,"14a Oxford Rd, Manchester, M1 5QA",4.2,676,https://www.ivynailsmanchester.co.uk/,ChIJf46K9mCxe0gRK4t1Xz9UTAs,serpapi,10447087,active,,96020,7 Victoria Road Nottingham NG4 2LA,"XIAO, Wei",director
nails,Manchester,Create & Coat Nail Salon,07445 630465,"Fl 0, Harvey Nichols, 21 New Cathedral St, Manchester M1 1AD",4.6,71,,ChIJs9zi_aSxe0gRqJ1UA5UVQAI,serpapi,,,,,,,
nails,Manchester,Nails Icon,07928 195181,"76 Bridge St, Manchester, M3 2RJ",4.3,134,https://nailsicon.loviebooking.co.uk/,ChIJ5S3m9MOxe0gR580Svdz_VOA,serpapi,15969441,active,,96020,76 Bridge Street Manchester M3 2RJ,"NGO, Hieu Quang",director
electrician,Manchester,24 Hour Electrician Manchester,0161 531 8870,"32 Dean St, Manchester, M4 5BG",4.9,55,https://mcr24hrelectrician.lovable.app/,ChIJsZfx2YgUSyMRaHD61vgj7G0,serpapi,,,,,,,
electrician,Manchester,The Emergency Electricians,07703 295654,"39 Slade Ln, Levenshulme, Manchester, M13 0QJ",5,257,https://www.theemergencyelectricians.co.uk/,ChIJ3Spn9Q_tRUwR6NXMveHxVtc,serpapi,,,,,,,
