vertical,businessName,phone,address,rating,reviewCount,website,search_query
nails,"Townhouse Nail Salon, Manchester King Street",+44 20 7947 0100,"34 King St, Manchester M2 6AZ, United Kingdom",4.8,325,https://townhouse.co.uk/locations/manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=north,nail salon Manchester UK
nails,Bella Naillash – Nail Salon Manchester,+44 7356 268849,"United Kingdom, Manchester, Princess St, China Town邮政编码: M1 4LB",5,217,https://www.bellanaillash.com/book-online,nail salon Manchester UK
nails,Shuku Nail Spa,,"Suite 117, Phenix Salon Suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",5,71,https://shuku.co.uk/,nail salon Manchester UK
nails,The Glow Nail & Beauty,+44 7496 806666,"Suite 104, within phenix salon suites, No. 1 Deansgate, Manchester M3 1AZ, United Kingdom",5,59,https://linktr.ee/FaraNNail,nail salon Manchester UK
nails,Yulia Hamilton Nails & Beauty,+44 7858 358562,"40 Laystall St, Manchester M1 2JQ, United Kingdom",4.8,686,https://www.mcrnails.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8432878723751390110,nail salon Manchester UK
nails,Bella Spa,+44 7554 012698,"12 Faraday St, Manchester M1 1BE, United Kingdom",4.9,3486,https://www.instagram.com/bellaspa_manchester/,nail salon Manchester UK
nails,Love Nails Manchester,+44 161 222 3690,"28 Blackfriars St, Salford M3 5BQ, United Kingdom",4.7,142,https://instagram.com/m_lovenails_?igshid=YmMyMTA2M2Y=,nail salon Manchester UK
nails,LILLY NAIL AND BEAUTY MANCHESTER,+44 161 425 5858,"14-16 Whitworth St, Manchester M1 3BS, United Kingdom",4.5,657,http://www.lillynailnbeauty.co.uk/,nail salon Manchester UK
nails,Bisou Nail Studio,+44 7888 697303,"73-75 Lever St, Manchester M1 2AP, United Kingdom",4.7,40,,nail salon Manchester UK
nails,ACE NAILS,,"Suite 103, within phenix salon suites, 1 Deansgate, Manchester M3 1AZ, United Kingdom",4.9,170,http://instagram.com/acenailsmcr/,nail salon Manchester UK
electrician,R K Electrical Services ltd,+44 7971 189285,"9 Hawthorn Way, Ashgate, Chesterfield S42 7JS, United Kingdom",5,20,http://www.rkelectricalltd.co.uk/,electricians Manchester
electrician,AF Electrical & Mechanical Contractors,+44 1332 648599,"19 St Christopher's Way, Derby DE24 8JY, United Kingdom",4.9,135,http://www.afelectricalcontractors.co.uk/,electricians Manchester
electrician,WDS Electrical Services LTD,+44 7534 262216,"W End Rd, Benington, Boston PE22 0BU, United Kingdom",5,3,http://www.wds-electrical.co.uk/,electricians Manchester
electrician,AK Electrical Services,+44 7888 731205,"Brooklyn Ave, Manchester M16 0BY, United Kingdom",5,279,http://akelectricians.co.uk/,electricians Manchester
electrician,EV Charging Solutions,+44 115 966 4895,"Daleside House, Calverton, Nottingham NG14 6LL, United Kingdom",4.2,23,https://evchargingsolutions.co.uk/,electricians Manchester
electrician,Phil's Auto Electrics ltd,+44 7868 550631,"14 The Triangle, Ilkeston DE7 4AP, United Kingdom",4.5,83,https://www.facebook.com/profile.php?id=100091121261678,electricians Manchester
electrician,The Emergency Electricians,+44 7703 295654,"39 Slade Ln, Levenshulme, Manchester M13 0QJ, United Kingdom",5,257,https://www.theemergencyelectricians.co.uk/,electricians Manchester
electrician,AH Electrical Services,,,5,407,http://ahelectricalservices.co.uk/,electricians Manchester
electrician,24 Hour Electrician Manchester,+44 161 531 8870,"32 Dean St, Manchester M4 5BG, United Kingdom",4.9,55,https://mcr24hrelectrician.lovable.app/,electricians Manchester
dog_groomers,"Arch & Bark Ltd, Manchester City Centre Dog Groomers",+44 7776 765473,"4 Mirabel St, Cheetham Hill, Manchester M3 1PJ, United Kingdom",5,10,https://www.archandbark.co.uk/,dog grooming Manchester
dog_groomers,Puppy Power Mobile Dog Grooming,+44 7926 523732,"3 Imperial Wy, Manchester M9 8GQ, United Kingdom",4.3,44,,dog grooming Manchester
dog_groomers,The Barkside Manchester City Centre,+44 7876 623579,"Richmond House, Travis St, Manchester M1 2NF, United Kingdom",4.9,131,http://www.thebarksidemcr.co.uk/,dog grooming Manchester
