rank,company_number,name,status,score,postcode,area,cluster,sic_codes,incorporation_date,planning_count,contract_count,density
1,09866059,CONRAD ENERGY LIMITED,active,59.9,OX14 1SY,OX,solar,35110; 35130; 35140; 82110,,1000,200,2380
2,09866059,CONRAD ENERGY LIMITED,active,59.9,OX14 1SY,OX,solar,35110; 35130; 35140; 82110,,1000,200,2380
3,09866059,CONRAD ENERGY LIMITED,active,59.9,OX14 1SY,OX,solar,35110; 35130; 35140; 82110,,1000,200,2380
4,09866059,CONRAD ENERGY LIMITED,active,59.9,OX14 1SY,OX,solar,35110; 35130; 35140; 82110,,1000,200,2380
5,09866059,CONRAD ENERGY LIMITED,active,59.9,OX14 1SY,OX,solar,35110; 35130; 35140; 82110,,1000,200,2380
6,07023876,FUNKY RENEWABLES LTD,active,58.0,IP28 7DE,IP,electrical,33200; 43210; 68100; 72190,,1000,1000,2116
7,14815840,LYSIUN LTD,active,58.0,IP28 7DE,IP,electrical,27900; 33140; 43210; 47190,,1000,1000,2116
8,16641524,ANGRY BEAVERS SOLUTIONS LTD,active,58.0,IP28 7DE,IP,hvac,41201; 41202; 43220; 43999,,1000,1000,2116
9,15896720,YORKSHIRE TELECOM LTD,active,58.0,IP28 7DE,IP,telecom,61100; 61200; 61300; 61900,,1000,1000,2116
10,06224374,TULA GROUP LIMITED,active,58.0,IP28 7DE,IP,telecom,35140; 35230; 61100; 61900,,1000,1000,2116
11,14407675,2ADVENTURE STUDIOS LTD,active,58.0,IP28 7DE,IP,telecom,61100; 62020; 62090; 63110,,1000,1000,2116
12,14311941,PET ELECTRICAL & TELECOMS LTD,active,58.0,IP28 7DE,IP,telecom,33140; 33200; 43210; 61100,,1000,1000,2116
13,15276892,LUSO FIBRE LTD,active,58.0,IP28 7DE,IP,telecom,42220; 61100; 61200; 61900,,1000,1000,2116
14,15236709,NONPROFIT IT C.I.C.,active,58.0,IP28 7DE,IP,telecom,45112; 61100; 62020; 63110,,1000,1000,2116
15,15009587,DSN GROUP LTD,active,58.0,IP28 7DE,IP,telecom,49410; 61100; 61900; 62090,,1000,1000,2116
16,02793527,SYSTEMS MANAGERS LIMITED,active,58.0,IP28 7DE,IP,repair,56290; 62020; 62090; 95110,,1000,1000,2116
17,16596559,BROWNERS IT SERVICES LTD,active,58.0,IP28 7DE,IP,repair,47410; 62090; 95110; 95120,,1000,1000,2116
