company_number,name,postcode,sic_codes,status,cluster,area,score
14286190,AKPS SOLUTIONS LTD,M3 1HE,"41202,43210,43220,43390",active,electrical,M3,5
05384376,BILFINGER UK LIMITED,WA3 6UT,"42990,43210,43991,43999",active,electrical,WA3,5
13647273,BMS SERV LTD,SK3 8HR,"41202,43210,81210,81299",active,electrical,SK3,5
15239607,DATACORE TECHNOLOGIES LIMITED,M23 9JP,"43210,62090,63110,95110",active,electrical,M23,5
02650749,DLP SERVICES (NORTHERN) LIMITED,M6 6WF,"43210,43220,43390,43910",active,electrical,M6,5
13525371,ELITE CONTRACTORS NW LTD,M24 1JT,"41201,41202,43210,43220",active,electrical,M24,5
13240020,GREENERAMPS LTD,M20 2YY,"41100,41202,43210,74901",active,electrical,M20,5
15201862,HAPPIE HOMES SERVICES LTD,OL9 8JR,"43210,43220,43310,43390",active,electrical,OL9,5
10363687,HIGHBANK HEATING LIMITED,SK6 3AU,"43210,43220,43310,43320",active,electrical,SK6,5
15913138,IIRNA GROUP LTD,M16 0AD,"43210,45112,46900,68209",active,electrical,M16,5
13449721,MESC CONTRACTING UK LTD,M12 4JD,"41201,41202,43210,43390",active,electrical,M12,5
10501004,NORTHERN REFRIGERATION COMPANY LIMITED,OL15 0BT,"18140,35130,43210,43220",active,electrical,OL15,5
02516226,OCU NORTHAVON GROUP LIMITED,SK3 8AB,"33200,42910,43210,43290",active,electrical,SK3,5
13328274,PEAK EVOLUTION LIMITED,M28 3NS,"41100,43210,43290,43320",active,electrical,M28,5
14516798,PLUS1LIGHTING LTD,SK8 1PY,"43210,59111,59112,59113",active,electrical,SK8,5
05100163,PME PROJECTS  LIMITED,WA5 8DA,"43210,43220,43290,43999",active,electrical,WA5,5
12697473,POWER AND ENERGY LTD,WN6 9DD,"35110,42220,43210,46520",active,electrical,WN6,5
14898335,SOLOMONS CONSTRUCTION GROUP LTD,OL12 6SJ,"41201,41202,43210,43310",active,electrical,OL12,5
08501434,SWAT UTILITIES LIMITED,M25 0TL,"42210,42220,43210,71122",active,electrical,M25,5
04119865,TATE SECURITY TECHNOLOGY LIMITED,WN3 6PX,"43210,71121,84240,84250",active,electrical,WN3,5
11777875,TRADEPRO CONSTRUCTION LTD,M26 1GN,"43210,43310,43320,43390",active,electrical,M26,5
16081199,UNISOLAR ECO LIMITED,M6 6NA,"42220,43210,43290,43910",active,electrical,M6,5
07247848,WISWELL BUILDING LTD.,WN6 8EA,"43210,43220,43310,43320",active,electrical,WN6,5
09645598,A & F (BOLTON) LIMITED,BL2 2SJ,"41201,41202,43210",active,electrical,BL2,4
16210952,AJC ELECTRICAL INSTALLATION AND MAINTENANCE LTD,WA8 3YY,"33140,43210,61900",active,electrical,WA8,4
04449701,CAM JOINERY LIMITED,SK8 1DR,"41202,43210,43320",active,electrical,SK8,4
04242024,CEETECH LIMITED,WA6 0AR,"43210,43220,43290",active,electrical,WA6,4
14115371,CONTECH SOLUTIONS LTD,M29 7TN,"41201,43210,43290",active,electrical,M29,4
14328038,DGM CONTROLS LIMITED,WN8 9PL,"33120,33140,43210",active,electrical,WN8,4
07913525,FOAT LIMITED,SK10 1BX,"41202,43210,43220",active,electrical,SK10,4
05913575,FUSION ELECTRICAL ENGINEERING SERVICES LIMITED,M27 9LA,"43210,71122,71129",active,electrical,M27,4
11516883,HARMONYZ LTD,M8 0PF,"43210,43290,43999",active,electrical,M8,4
08804726,HEATABLE LTD,WA8 5SQ,"43210,43220,96090",active,electrical,WA8,4
07743756,HOME MARKET LIMITED,M5 3HR,"43210,43310,68209",active,electrical,M5,4
11624749,LOGAN JACOBS LIMITED,SK13 1QH,"41202,43210,43390",active,electrical,SK13,4
11175957,MULTIBUILD SOLUTIONS LTD,M44 5EA,"43210,43220,43390",active,electrical,M44,4
08773671,SINAN ELECTRICS LIMITED,SK5 6JG,"41100,43210,43220",active,electrical,SK5,4
12684739,SMART SOLUTION ELECTRONICS LTD,M34 7LN,"33130,43210,80200",active,electrical,M34,4
08383026,STERLING BLANK LTD,M7 4JA,"43210,43390,68320",active,electrical,M7,4
14306701,SUSTAINABLE POWER LTD,SK7 5ER,"43210,43910,43999",active,electrical,SK7,4
06906473,TECHONE ELECTRONICS LTD,OL11 2ER,"43210,46610,47599",active,electrical,OL11,4
14419805,VV & K CONSTRUCTION LIMITED,BL3 6RL,"41202,43210,43290",active,electrical,BL3,4
14612350,Y ELECTRICAL SOLUTIONS LTD,WA3 3QZ,"33120,33140,43210",active,electrical,WA3,4
10852645,ABSEIL ELECTRICAL SERVICES LTD,BL0 9RG,"43210,96090",active,electrical,BL0,3
12730859,AI ELECTRICAL (NW) LIMITED,M33 2FA,"33140,43210",active,electrical,M33,3
05153354,ANNECTO SOLUTIONS LIMITED,SK15 1BA,"43210,47410",active,electrical,SK15,3
11258463,BARTON ELECTRICAL HOLDINGS LIMITED,OL2 7UX,"43210,64209",active,electrical,OL2,3
07649242,BASE BUILDING NORTH WEST LIMITED,SK3 0NA,"41100,43210",active,electrical,SK3,3
08575751,BBS SWITCHGEAR LTD,WA14 5DY,"43210,46180",active,electrical,WA14,3
07134526,BTL CONTRACTS LIMITED,SK14 4EH,"43210,43220",active,electrical,SK14,3
